title,link,authors,year
Biolubricant production via esterification and transesterification processes: Current updates and perspectives,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=nPldrNcAAAAJ&pagesize=100&citation_for_view=nPldrNcAAAAJ:OTTXONDVkokC,"(1) G Appiah, SK Tulashie, EEA Akpari, ER Rene, D Dodoo",2022
WhatsApp and academic performance among undergraduate students in Ghana: Evidence from the University of Cape Coast,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=-IUeqEoAAAAJ&pagesize=100&citation_for_view=-IUeqEoAAAAJ:9yKSN-GCB0IC,"(1) B Afful, R Akrong",2020
Spillovers and contagion between BRIC and G7 markets: New evidence from time-frequency analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=DHXqQUMAAAAJ&pagesize=100&citation_for_view=DHXqQUMAAAAJ:zGdJYJv2LkUC,"(3) SK Agyei, P Owusu Junior, A Bossman, E Asafo-Adjei, O Asiamah, ...",2022
Community participation in assessment of fisheries related ecosystem services towards the establishment of marine protected area in the Greater Cape Three Points area in Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4kYxdkQAAAAJ&pagesize=100&citation_for_view=4kYxdkQAAAAJ:IjCSPb-OGe4C,"(1) AA Sagoe, DW Aheto, I Okyere, R Adade, J Odoi",2020
Community participation in assessment of fisheries related ecosystem services towards the establishment of marine protected area in the Greater Cape Three Points area in Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ax71H7wAAAAJ&pagesize=100&citation_for_view=ax71H7wAAAAJ:AvfA0Oy_GE0C,"(2) AA Sagoe, DW Aheto, I Okyere, R Adade, J Odoi",2021
Application of shore-based video and unmanned aerial vehicles (drones): complementary tools for beach studies,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=f3TcSyQAAAAJ&pagesize=100&citation_for_view=f3TcSyQAAAAJ:vV6vV6tmYwMC,"(1) DB Angnuureng, PN Jayson-Quashigah, R Almar, TC Stieglitz, ...",2020
Assessing Wood Waste by Timber Industry as a Contributing Factor to Deforestation in Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=z8IGiUIAAAAJ&pagesize=100&citation_for_view=z8IGiUIAAAAJ:4TOpqqG69KYC,"(1) Obed Asamoah,Suvi Kuittinen,Jones Abrefa Danquah,Ebo Tawiah Quartey,Dastan ...",2020
Socio-economic and demographic determinants of female genital mutilation in sub-Saharan Africa: analysis of data from demographic and health surveys,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=JkmLukkAAAAJ&pagesize=100&citation_for_view=JkmLukkAAAAJ:IWHjjKOFINEC,"(1) BO Ahinkorah, JE Hagan, EK Ameyaw, AA Seidu, E Budu, F Sambah, ...",2020
Cross-ancestry GWAS meta-analysis identifies six breast cancer loci in African and European ancestry women,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=BLBa_d4AAAAJ&pagesize=100&citation_for_view=BLBa_d4AAAAJ:pyW8ca7W8N0C,"(1) B Adedokun, Z Du, G Gao, TU Ahearn, KL Lunetta, G Zirpoli, J Figueroa, ...",2021
Influence of corporate social responsibility on non-financial performance,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=x__SEMEAAAAJ&pagesize=100&citation_for_view=x__SEMEAAAAJ:3fE2CSJIrl8C,"(1) KM Nyarku, S Ayekple",2019
Students’ and educators’ experiences with instructional activities towards critical thinking skills acquisition in a nursing school,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Itlsgw4AAAAJ&pagesize=100&citation_for_view=Itlsgw4AAAAJ:qjMakFHDy7sC,"(1) CM Boso, AS van der Merwe, J Gross",2021
Mutations in SARS-CoV-2 ORF8 altered the bonding network with interferon regulatory factor 3 to evade host immune system,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=A4EqSRwAAAAJ&pagesize=100&citation_for_view=A4EqSRwAAAAJ:Zph67rFs4hoC,"(1) F Rashid, M Suleman, A Shah, EE Dzakah, H Wang, S Chen, S Tang",2021
"Mobile money, output and welfare among smallholder farmers in Ghana",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=T9WzwtwAAAAJ&pagesize=100&citation_for_view=T9WzwtwAAAAJ:1qzjygNMrQYC,"(2) JA Peprah, C Oteng, J Sebu",2020
Chemical profile and in vivo toxicity evaluation of unripe Citrus aurantifolia essential oil,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=A6-tbbQAAAAJ&pagesize=100&citation_for_view=A6-tbbQAAAAJ:dhFuZR0502QC,"(4) CK Adokoh, DB Asante, DO Acheampong, Y Kotsuchibashi, FA Armah, ...",2019
Measuring negative tourist-to-tourist interaction: Scale development and validation,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=B5CU1jkAAAAJ&pagesize=100&citation_for_view=B5CU1jkAAAAJ:Y0pCki6q_DkC,"(3) I Adam, F Taale, CA Adongo",2020
Resistance to pirimiphos-methyl in West African Anopheles is spreading via duplication and introgression of the Ace1 locus,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Tb4DISUAAAAJ&pagesize=100&citation_for_view=Tb4DISUAAAAJ:ULOm3_A8WrAC,"(1) X Grau-Bové, E Lucas, D Pipini, E Rippon, AE van ‘t Hof, E Constant, ...",2021
Maize production and environmental costs: Resource evaluation and strategic land use planning for food security in northern Ghana by means of coupled Emergy and Data …,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=BdQp9BYAAAAJ&pagesize=100&citation_for_view=BdQp9BYAAAAJ:mVmsd5A6BfQC,"(1) CM Francis Molua Mwambo, Christine Fürst, Benjamin K.Nyarko, Christian ...",2020
"Poverty reduction in Upper West Region, Ghana: role of the livelihood empowerment against poverty programme",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=KzzfSCQAAAAJ&pagesize=100&citation_for_view=KzzfSCQAAAAJ:9ZlFYXVOiuMC,"(1) MN Fuseini, F Enu-Kwesi, M Sulemana",2019
"The involvement of cell adhesion molecules, tight junctions, and gap junctions in human placentation",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=pxeBHywAAAAJ&pagesize=100&citation_for_view=pxeBHywAAAAJ:hC7cP41nSMkC,"(1) EA Adu-Gyamfi, A Czika, PN Gorleku, A Ullah, Z Panhwar, LL Ruan, ...",2021
Innovation orientation and performance of small and medium-sized enterprises (SMES) in Ghana: evidence from manufacturing sector,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=-jgUP5wAAAAJ&pagesize=100&citation_for_view=-jgUP5wAAAAJ:Tyk-4Ss8FVUC,"(2) K Issau, ISK Acquah, RI Gnankob, Z Hamidu",2021
Activin and inhibin signaling: from regulation of physiology to involvement in the pathology of the female reproductive system,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=CG1ME44AAAAJ&pagesize=100&citation_for_view=CG1ME44AAAAJ:Tyk-4Ss8FVUC,"(1) EA Adu-Gyamfi, FT Djankpa, W Nelson, A Czika, SK Sah, J Lamptey, ...",2020
Incidence of maternal near-miss in Kenya in 2018: findings from a nationally representative cross-sectional study in 54 referral hospitals,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=bz47NdQAAAAJ&pagesize=100&citation_for_view=bz47NdQAAAAJ:O3NaXMp0MMsC,"(1) O Owolabi, T Riley, K Juma, M Mutua, ZH Pleasure, J Amo-Adjei, ...",2020
Corporate tax avoidance incentives of banks in Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=KS8NqMwAAAAJ&pagesize=100&citation_for_view=KS8NqMwAAAAJ:eQOLeE2rZwMC,"(4) SK Agyei, E Marfo-Yiadom, A Ansong, AAA Idun",2020
Women's empowerment and child health outcomes in Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=QZeWmP0AAAAJ&pagesize=100&citation_for_view=QZeWmP0AAAAJ:onKP9CxGSkIC,"(2) G Essilfie, J Sebu, SK Annim",2020
Antimicrobial and antibiofilm activities of helical antimicrobial peptide sequences incorporating metal-binding motifs,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ar0lfFgAAAAJ&pagesize=100&citation_for_view=ar0lfFgAAAAJ:4DMP91E08xMC,"(2) CM Agbale, JK Sarfo, IK Galyuon, SA Juliano, GGO Silva, DF Buccini, ...",2019
Working with the informal service chain as a locally appropriate strategy for sustainable modernization of municipal solid waste management systems in lower-middle income …,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=p14GlO0AAAAJ&pagesize=100&citation_for_view=p14GlO0AAAAJ:qjMakFHDy7sC,"(1) K Oduro-Appiah, A Afful, VN Kotey, N De Vries",2019
Informal mhealth at scale in Africa: Opportunities and challenges,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=9rptEvoAAAAJ&pagesize=100&citation_for_view=9rptEvoAAAAJ:YOwf2qJgpHMC,"(3) K Hampshire, T Mwase-Vuma, K Alemu, A Abane, A Munthali, T Awoke, ...",2021
Assessing the safe haven properties of oil in African stock markets amid the COVID-19 pandemic: a quantile regression analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=DHXqQUMAAAAJ&pagesize=100&citation_for_view=DHXqQUMAAAAJ:JTqpx9DYBaYC,"(1) Assifuah-Nunoo ,E, P Owusu Junior, A Adam, A.M.: Bossman",2022
Assessing the safe haven properties of oil in African stock markets amid the COVID-19 pandemic: a quantile regression analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=r6ZueU4AAAAJ&pagesize=100&citation_for_view=r6ZueU4AAAAJ:mB3voiENLucC,"(1) E Assifuah-Nunoo, PO Junior, AM Adam, A Bossman",2022
Integrating pre-game rituals and pre-performance routines in a culture-specific context: Implications for sport psychology consultancy,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=JkmLukkAAAAJ&pagesize=100&citation_for_view=JkmLukkAAAAJ:Se3iqnhoufwC,"(1) JE Hagan Jnr, T Schack",2019
Waste management practices of small hotels in Accra: An application of the waste management hierarchy model,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=QrN0X1UAAAAJ&pagesize=100&citation_for_view=QrN0X1UAAAAJ:X9ykpCP0fEIC,(1) I Mensah,2020
Adolescent transport and unintentional injuries: a systematic analysis using the Global Burden of Disease Study 2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=JEpmvgsAAAAJ&pagesize=100&citation_for_view=JEpmvgsAAAAJ:ULOm3_A8WrAC,"(1) AE Peden, P Cullen, KL Francis, H Moeller, MM Peden, P Ye, M Tian, ...",2022
Heavy metal content and health risk assessment of commonly patronized herbal medicinal preparations from the Kumasi metropolis of Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=jrH8VfwAAAAJ&pagesize=100&citation_for_view=jrH8VfwAAAAJ:YFjsv_pBGBYC,"(1) F Adusei-Mensah, DK Essumang, RO Agjei, J Kauhanen, ...",2019
Depression in sub-saharan Africa,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ClBanEoAAAAJ&pagesize=100&citation_for_view=ClBanEoAAAAJ:4JMBOYKVnBMC,"(2) IT Gbadamosi, IT Henneh, OM Aluko, EO Yawson, AR Fokoua, ...",2022
Trend and determinants of complete vaccination coverage among children aged 12-23 months in Ghana: analysis of data from the 1998 to 2014 Ghana demographic and health surveys,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ezJviOEAAAAJ&pagesize=100&citation_for_view=ezJviOEAAAAJ:OBSaB-F7qqsC,"(1) E Budu, EKM Darteh, BO Ahinkorah, AA Seidu, KS Dickson",2020
Health and socioeconomic circumstances over three generations as predictors of youth unemployment trajectories,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ioyC8AcAAAAJ&pagesize=100&citation_for_view=ioyC8AcAAAAJ:pyW8ca7W8N0C,"(1) DT Doku, PJ Acacio-Claro, L Koivusilta, A Rimpelä",2019
Women’s Empowerment and Child Health Outcomes in Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=_ntPDRwAAAAJ&pagesize=100&citation_for_view=_ntPDRwAAAAJ:9yKSN-GCB0IC,"(1) G Essilfie, J Sebu, SK Annim",2020
Extraction and characterisation of african star apple (Chrysophyllum albidum) seed oil and the adsorptive properties of the fruit shell in Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=FmCeuFwAAAAJ&pagesize=100&citation_for_view=FmCeuFwAAAAJ:YsMSGLbcyi4C,"(3) MA Anang, M Oteng-Peprah, K Opoku-Boadu",2019
Extraction and Characterisation of African Star Apple ( Chrysophyllum albidum ) Seed Oil and the Adsorptive Properties of the Fruit Shell in Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=b2s6_qsAAAAJ&pagesize=100&citation_for_view=b2s6_qsAAAAJ:0EnyYjriUFMC,"(1) MA Anang, M Oteng-Peprah, K Opoku-Boadu",2019
"Foreign aid and economic growth: Do energy consumption, trade openness and CO2 emissions matter? A DSUR heterogeneous evidence from Africa’s trading blocs",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zocVZFEAAAAJ&pagesize=100&citation_for_view=zocVZFEAAAAJ:u5HHmVD_uO8C,"(1) Y Hongxing, OJ Abban, A Dankyi Boadi",2021
"Human capital, foreign direct investment, and economic growth: Evidence from ECOWAS in a decomposed income level panel",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=zocVZFEAAAAJ&pagesize=100&citation_for_view=zocVZFEAAAAJ:LkGwnXOMwfcC,"(1) AB Dankyi, OJ Abban, K Yusheng, TP Coulibaly",2022
Quantifying the Information Flow between Ghana Stock Market Index and Its Constituents Using Transfer Entropy,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=DHXqQUMAAAAJ&pagesize=100&citation_for_view=DHXqQUMAAAAJ:6_hjMsCP8ZoC,"(1) PM Osei, AM Adam",2020
From fish to cash: Analyzing the role of women in fisheries in the western region of Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=f3TcSyQAAAAJ&pagesize=100&citation_for_view=f3TcSyQAAAAJ:lSLTfruPkqcC,"(1) AB Ameyaw, A Breckwoldt, H Reuter, DW Aheto",2020
"Emotional labour, emotional exhaustion and job satisfaction in the hospitality industry",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=itnwfDQAAAAJ&pagesize=100&citation_for_view=itnwfDQAAAAJ:_FxGoFyzp5QC,"(2) EF Amissah, S Blankson-Stiles-Ocran, I Mensah",2022
Insights into the safety and security expressions of visitors to the Kakum National Park: Implications for management,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=r_F6CwEAAAAJ&pagesize=100&citation_for_view=r_F6CwEAAAAJ:YOwf2qJgpHMC,"(1) G Poku, KAA Boakye",2019
Prevention of mother-to-child transmission (PMTCT) of HIV: a review of the achievements and challenges in Burkina-Faso,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=cgs34hUAAAAJ&pagesize=100&citation_for_view=cgs34hUAAAAJ:isC4tDSrTZIC,"(1) LS Ghoma Linguissi, T Sagna, ST Soubeiga, LC Gwom, CN Nkenfou, ...",2019
Valorization of agro-industrial wastes into animal feed through microbial fermentation: A review of the global and Ghanaian case,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ABjuR1AAAAAJ&pagesize=100&citation_for_view=ABjuR1AAAAAJ:0EnyYjriUFMC,"(1) L Yafetto, GT Odamtten, M Wiafe-Kwagyan",2023
Factors associated with the myth about 5G network during COVID-19 pandemic in sub-Saharan Africa,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ouWjRcMAAAAJ&pagesize=100&citation_for_view=ouWjRcMAAAAJ:4xDN1ZYqzskC,"(1) GO Ovenseri-Ogbomo, T Ishaya, UL Osuagwu, EK Abu, O Nwaeze, ...",2020
Male support for cervical cancer screening and treatment in rural Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ioyC8AcAAAAJ&pagesize=100&citation_for_view=ioyC8AcAAAAJ:XiSMed-E-HIC,"(2) C Binka, DT Doku, SH Nyarko, K Awusabo-Asare",2019
"Global, regional, and national burden of rheumatoid arthritis, 1990–2020, and projections to 2050: a systematic analysis of the Global Burden of Disease Study 2021",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=JEpmvgsAAAAJ&pagesize=100&citation_for_view=JEpmvgsAAAAJ:ZeXyd9-uunAC,"(1) RJ Black, M Cross, LM Haile, GT Culbreth, JD Steinmetz, H Hagins, ...",2023
Situated information flow between food commodity and regional equity markets: an EEMD-based transfer entropy analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Vh3Y5SAAAAAJ&pagesize=100&citation_for_view=Vh3Y5SAAAAAJ:2osOgNQ5qMEC,"(3) SK Agyei, P Owusu Junior, A Bossman, EY Arhin",2022
Multitargeted effects of vitexin and isovitexin on diabetes mellitus and its complications,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=58Ntc_oAAAAJ&pagesize=100&citation_for_view=58Ntc_oAAAAJ:ULOm3_A8WrAC,"(3) IL Abdulai, SK Kwofie, WS Gbewonyo, D Boison, JB Puplampu, ...",2021
Phenotypic characterization of tiger nuts (Cyperus esculentus L.) from major growing areas in Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=nTwvKa8AAAAJ&pagesize=100&citation_for_view=nTwvKa8AAAAJ:hC7cP41nSMkC,"(3) PA Asare, R Kpankpari, MO Adu, E Afutu, AS Adewumi",2020
Genetic basis of maize resistance to multiple insect pests: Integrated genome-wide comparative mapping and candidate gene prioritization,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=QcyQzEEAAAAJ&pagesize=100&citation_for_view=QcyQzEEAAAAJ:3fE2CSJIrl8C,"(1) A Badji, DB Kwemoi, L Machida, D Okii, N Mwila, S Agbahoungba, F Kumi, ...",2020
"Tail risk dependence, co-movement and predictability between green bond and green stocks",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=0baKC5wAAAAJ&pagesize=100&citation_for_view=0baKC5wAAAAJ:LPZeul_q3PIC,"(1) AK Tiwari, EJA Abakah, OOS Yaya, KO Appiah",2023
"Quantile price convergence and spillover effects among Bitcoin, Fintech, and artificial intelligence stocks",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=0baKC5wAAAAJ&pagesize=100&citation_for_view=0baKC5wAAAAJ:XiVPGOgt02cC,"(1) EJA Abakah, AK Tiwari, L Chi-Chuan, M Ntow-Gyamfi",2022
Predictive Probabilities of Access to Clean Cooking: Evidence from the Demographic and Health Surveys in 31 Countries in Sub-Saharan Africa,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=1RmZz2YAAAAJ&pagesize=100&citation_for_view=1RmZz2YAAAAJ:PELIpwtuRlgC,"(1) FA Armah, B Ekumah, DO Yawson, JO Odoi, AR Afitiri, FE Nyieku",2019
Pedestrian risky behavior and safety at zebra crossings in a Ghanaian metropolitan area,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=l-7m00gAAAAJ&pagesize=100&citation_for_view=l-7m00gAAAAJ:UebtZRa9Y70C,"(1) T Ojo, CO Adetona, W Agyemang, FK Afukaar",2019
"Households’ solid waste separation practices in the Cape Coast Metropolitan area, Ghana",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Yy-aXUAAAAAJ&pagesize=100&citation_for_view=Yy-aXUAAAAAJ:e_rmSamDkqQC,"(1) P Gyimah, S Mariwah, KB Antwi, K Ansah-Mensah",2021
Compound Astragalus and Salvia miltiorrhiza extract inhibits hepatocellular carcinoma progression via miR-145/miR-21 mediated Smad3 phosphorylation,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=p1hTJa0AAAAJ&pagesize=100&citation_for_view=p1hTJa0AAAAJ:HDshCWvjkbEC,"(1) C Wu, W Chen, M Fang, A Boye, X Tao, Y Xu, S Hou, Y Yang",2019
"Subnational mapping of HIV incidence and mortality among individuals aged 15–49 years in sub-Saharan Africa, 2000–18: a modelling study",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=JEpmvgsAAAAJ&pagesize=100&citation_for_view=JEpmvgsAAAAJ:3fE2CSJIrl8C,"(1) B Sartorius, JD VanderHeide, M Yang, EA Goosmann, J Hon, E Haeuser, ...",2021
Autophagy upregulation by the TFEB inducer trehalose protects against oxidative damage and cell death associated with NRF2 inhibition in human RPE cells,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=a_Z1HqgAAAAJ&pagesize=100&citation_for_view=a_Z1HqgAAAAJ:qxL8FJ1GzNcC,"(1) S Abokyi, C To, HH Chan, DY Tse",2020
Smartphone usage among people living with severe visual impairment and blindness,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=pCmICDsAAAAJ&pagesize=100&citation_for_view=pCmICDsAAAAJ:WF5omc3nYNoC,"(2) CH Abraham, B Boadi-Kusi, EKA Morny, P Agyekum",2022
Protective effect of bergapten in acetic acid-induced colitis in rats,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=0rK5vU8AAAAJ&pagesize=100&citation_for_view=0rK5vU8AAAAJ:WF5omc3nYNoC,"(5) EA Adakudugu, EO Ameyaw, E Obese, RP Biney, IT Henneh, DB Aidoo, ...",2020
Soil organic carbon storage and quality are impacted by corn cob biochar application on a tropical sandy loam,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=WUHO500AAAAJ&pagesize=100&citation_for_view=WUHO500AAAAJ:35N4QoGY0k4C,"(1) E Amoakwah, E Arthur, KA Frimpong, SJ Parikh, R Islam",2020
Taking the long view: Temporal considerations in the ethics of children’s research activity and knowledge production,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=9rptEvoAAAAJ&pagesize=100&citation_for_view=9rptEvoAAAAJ:9yKSN-GCB0IC,"(3) K Hampshire, G Porter, S Owusu, S Mariwah, A Abane, E Robson, ...",2020
Rapid and nondestructive fraud detection of palm oil adulteration with Sudan dyes using portable NIR spectroscopic techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=-5fWvBgAAAAJ&pagesize=100&citation_for_view=-5fWvBgAAAAJ:R3hNpaxXUhUC,"(2) E Teye, C Elliott, LK Sam-Amoah, C Mingle",2019
Predicting adulteration of Palm oil with Sudan IV dye using shortwave handheld spectroscopy and comparative analysis of models,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=v5twoU0AAAAJ&pagesize=100&citation_for_view=v5twoU0AAAAJ:hC7cP41nSMkC,"(3) RL MacArthur, E Teye, S Darkwa",2020
Prevalence of suicidal behaviour among nursing and midwifery college students in Ghana,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=OS7iB1IAAAAJ&pagesize=100&citation_for_view=OS7iB1IAAAAJ:8k81kl-MbHgC,"(1) ENB Quarshie, HV Cheataa‐Plange, F Annor, W Asare‐Doku, JKS Lartey",2019
How far is inclusivity of financial services associated with food insecurity in later life? Implications for health policy and sustainable development goals,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=DHXqQUMAAAAJ&pagesize=100&citation_for_view=DHXqQUMAAAAJ:CdxZDUztZiMC,"(1) RM Gyasi, DR Phillips, AM Adam",2021
Assessing interdependence and contagion effects on the bond yield and stock returns nexus in Sub-Saharan Africa: evidence from wavelet analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=DHXqQUMAAAAJ&pagesize=100&citation_for_view=DHXqQUMAAAAJ:PkcyUWeTMh0C,"(3) A Bossman, AM Adam, PO Junior, SK Agyei",2022
Natural resource dependence and institutional quality: Evidence from Sub-Saharan Africa,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=uoshTu4AAAAJ&pagesize=100&citation_for_view=uoshTu4AAAAJ:mB3voiENLucC,"(1) O Asiamah, SK Agyei, A Bossman, EA Agyei, J Asucam, M Arku-Asare",2022
"Trait‐based responses of Ephemeroptera, Plecoptera, and Trichoptera to sediment stress in the Tsitsa River and its tributaries, Eastern Cape, South Africa",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6AUT-_gAAAAJ&pagesize=100&citation_for_view=6AUT-_gAAAAJ:zYLM7Y9cAGgC,"(1) FC Akamagwuna, PK Mensah, CF Nnadozie, ON Odume",2019
How do climate change adaptation strategies result in unintended maladaptive outcomes? Perspectives of tomato farmers,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=u76wvSwAAAAJ&pagesize=100&citation_for_view=u76wvSwAAAAJ:2osOgNQ5qMEC,"(1) L Guodaar, F Asante, G Eshun, K Abass, K Afriyie, DO Appiah, R Gyasi, ...",2020
"Climate change, health and safety of workers in developing economies: A scoping review",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=0W5w1k8AAAAJ&pagesize=100&citation_for_view=0W5w1k8AAAAJ:L8Ckcad2t8MC,"(2) EW Ansah, E Ankomah-Appiah, M Amoadu, JO Sarfo",2021
Mapping evidence of impacts of COVID-19 outbreak on sexual and reproductive health: a scoping review,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=JkmLukkAAAAJ&pagesize=100&citation_for_view=JkmLukkAAAAJ:BqipwSGYUEgC,"(1) OA Bolarinwa, BO Ahinkorah, AA Seidu, EK Ameyaw, BQ Saeed, ...",2021
Determinants of antenatal care and skilled birth attendance services utilization among childbearing women in Guinea: evidence from the 2018 Guinea Demographic and Health Survey …,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=JkmLukkAAAAJ&pagesize=100&citation_for_view=JkmLukkAAAAJ:e5wmG9Sq2KIC,"(1) BO Ahinkorah, AA Seidu, E Agbaglo, C Adu, E Budu, JE Hagan, T Schack, ...",2021
"Negative tourist-to-tourist interactions, value destruction, satisfaction, and post consumption behavioral intention",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Htx-wTcAAAAJ&pagesize=100&citation_for_view=Htx-wTcAAAAJ:qxL8FJ1GzNcC,(1) I Adam,2021
COVID-19-induced redundancy and socio-psychological well-being of tourism employees: Implications for organizational recovery in a resource-scarce context,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Htx-wTcAAAAJ&pagesize=100&citation_for_view=Htx-wTcAAAAJ:-f6ydRqryjwC,"(1) AN Kimbu, I Adam, F Dayour, A de Jong",2023
Strategies for successful implementation of mobile phone library services,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=EAyCkBYAAAAJ&pagesize=100&citation_for_view=EAyCkBYAAAAJ:u-x6o8ySG0sC,"(1) TK Ocran, PG Underwood, PA Arthur",2020
Biochar amendment impacts on microbial community structures and biological and enzyme activities in a weathered tropical sandy loam,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=WUHO500AAAAJ&pagesize=100&citation_for_view=WUHO500AAAAJ:1sJd4Hv_s6UC,"(1) E Amoakwah, E Arthur, KA Frimpong, N Lorenz, MA Rahman, ...",2022
